,0,1,2,3,4
362,2019-01-04,서울특별시,마포구,대흥동,14
363,2019-01-04,서울특별시,영등포구,대림제3동,14
364,2019-01-04,서울특별시,중랑구,면목제3.8동,14
365,2019-01-04,서울특별시,중랑구,상봉제1동,14
366,2019-01-04,서울특별시,중랑구,신내2동,14
367,2019-01-04,서울특별시,강남구,도곡1동,13
368,2019-01-04,서울특별시,강남구,일원2동,13
369,2019-01-04,서울특별시,노원구,상계3.4동,13
370,2019-01-04,서울특별시,동대문구,휘경제2동,13
371,2019-01-04,서울특별시,양천구,신정7동,13
372,2019-01-04,서울특별시,종로구,교남동,13
373,2019-01-04,서울특별시,강동구,천호제1동,12
374,2019-01-04,서울특별시,노원구,월계1동,12
375,2019-01-04,서울특별시,도봉구,방학제1동,12
376,2019-01-04,서울특별시,도봉구,창제1동,12
377,2019-01-04,서울특별시,동작구,상도제1동,12
378,2019-01-04,서울특별시,서대문구,홍은제2동,12
379,2019-01-04,서울특별시,서초구,내곡동,12
380,2019-01-04,서울특별시,양천구,목1동,12
381,2019-01-04,서울특별시,중랑구,망우본동,12
382,2019-01-04,서울특별시,강북구,송중동,11
383,2019-01-04,서울특별시,강서구,가양제3동,11
384,2019-01-04,서울특별시,강서구,화곡제1동,11
385,2019-01-04,서울특별시,관악구,낙성대동,11
386,2019-01-04,서울특별시,관악구,은천동,11
387,2019-01-04,서울특별시,구로구,구로제3동,11
388,2019-01-04,서울특별시,노원구,하계2동,11
389,2019-01-04,서울특별시,서초구,방배2동,11
390,2019-01-04,서울특별시,송파구,가락본동,11
391,2019-01-04,서울특별시,용산구,한강로동,11
392,2019-01-04,서울특별시,종로구,청운효자동,11
393,2019-01-04,경기도,구리시,갈매동,10
394,2019-01-04,서울특별시,강남구,삼성1동,10
395,2019-01-04,서울특별시,강남구,일원1동,10
396,2019-01-04,서울특별시,강북구,수유제3동,10
397,2019-01-04,서울특별시,구로구,구로제2동,10
398,2019-01-04,서울특별시,구로구,오류제2동,10
399,2019-01-04,서울특별시,도봉구,창제4동,10
400,2019-01-04,서울특별시,마포구,성산제1동,10
401,2019-01-04,서울특별시,서대문구,북가좌제2동,10
402,2019-01-04,서울특별시,송파구,거여2동,10
403,2019-01-04,서울특별시,용산구,효창동,10
404,승차일자,시/도,시/군/구,동/읍/면,승차건수
405,2019-01-05,서울특별시,영등포구,여의동,50
406,2019-01-05,서울특별시,종로구,이화동,24
407,2019-01-05,서울특별시,강남구,수서동,16
408,2019-01-05,서울특별시,노원구,상계6.7동,16
409,2019-01-05,서울특별시,노원구,하계1동,16
410,2019-01-05,서울특별시,마포구,성산제2동,16
411,2019-01-05,서울특별시,서대문구,신촌동,16
412,2019-01-05,서울특별시,광진구,구의제2동,15
413,2019-01-05,서울특별시,노원구,중계2.3동,15
414,2019-01-05,서울특별시,강서구,등촌제3동,14
415,2019-01-05,서울특별시,송파구,풍납2동,14
416,2019-01-05,서울특별시,용산구,한강로동,14
417,2019-01-05,서울특별시,종로구,종로1.2.3.4가동,14
418,2019-01-05,서울특별시,마포구,상암동,13
419,2019-01-05,서울특별시,영등포구,영등포동,13
420,2019-01-05,서울특별시,강북구,번제3동,12
421,2019-01-05,서울특별시,강서구,가양제1동,12
422,2019-01-05,서울특별시,중랑구,신내1동,12
423,2019-01-05,서울특별시,강남구,세곡동,11
424,2019-01-05,서울특별시,강동구,길동,11
425,2019-01-05,서울특별시,강동구,천호제2동,11
426,2019-01-05,서울특별시,강북구,인수동,11
427,2019-01-05,서울특별시,강서구,가양제2동,11
428,2019-01-05,서울특별시,강서구,발산제1동,10
429,2019-01-05,서울특별시,노원구,중계4동,10
430,2019-01-05,서울특별시,송파구,장지동,10
431,2019-01-05,서울특별시,동작구,신대방제2동,9
432,2019-01-05,서울특별시,양천구,목1동,9
433,2019-01-05,서울특별시,양천구,신정3동,9
434,2019-01-05,서울특별시,양천구,신정6동,9
435,2019-01-05,서울특별시,강동구,강일동,8
436,2019-01-05,서울특별시,강북구,송중동,8
437,2019-01-05,서울특별시,성북구,삼선동,8
438,2019-01-05,서울특별시,은평구,역촌동,8
439,2019-01-05,서울특별시,중랑구,망우본동,8
440,2019-01-05,서울특별시,중랑구,면목제3.8동,8
441,2019-01-05,서울특별시,강서구,가양제3동,7
442,2019-01-05,서울특별시,강서구,공항동,7
443,2019-01-05,서울특별시,관악구,서원동,7
444,2019-01-05,서울특별시,관악구,은천동,7
445,2019-01-05,서울특별시,동대문구,전농제2동,7
446,2019-01-05,서울특별시,마포구,서교동,7
447,2019-01-05,서울특별시,서대문구,충현동,7
448,2019-01-05,서울특별시,서대문구,홍은제2동,7
449,2019-01-05,서울특별시,성북구,월곡제2동,7
450,2019-01-05,서울특별시,용산구,남영동,7
451,2019-01-05,서울특별시,중구,명동,7
452,2019-01-05,서울특별시,중랑구,상봉제1동,7
453,2019-01-05,서울특별시,중랑구,중화제2동,7
454,2019-01-05,서울특별시,강남구,역삼1동,6
455,2019-01-05,서울특별시,강남구,일원2동,6
456,2019-01-05,서울특별시,강남구,삼성1동,6
457,2019-01-05,서울특별시,강북구,미아동,6
458,2019-01-05,서울특별시,강북구,삼각산동,6
459,2019-01-05,서울특별시,강서구,방화제2동,6
460,2019-01-05,서울특별시,강서구,화곡제6동,6
461,2019-01-05,서울특별시,구로구,신도림동,6
462,2019-01-05,서울특별시,노원구,공릉1.3동,6
463,2019-01-05,서울특별시,노원구,월계3동,6
464,2019-01-05,서울특별시,도봉구,쌍문제2동,6
465,2019-01-05,서울특별시,서대문구,남가좌제2동,6
