DATE,SI_NM,GU_NM,EMD_NM,TAXI_CNT
2019-01-05,서울특별시,송파구,오금동,6
2019-01-05,서울특별시,양천구,목4동,6
2019-01-05,서울특별시,은평구,구산동,6
2019-01-05,서울특별시,은평구,응암제3동,6
2019-01-05,서울특별시,은평구,진관동,6
2019-01-05,서울특별시,중랑구,묵제1동,6
2019-01-05,서울특별시,중랑구,신내2동,6
2019-01-05,서울특별시,강남구,대치1동,5
2019-01-05,서울특별시,강남구,논현1동,5
2019-01-05,서울특별시,강동구,명일제1동,5
2019-01-05,서울특별시,강동구,상일동,5
2019-01-05,서울특별시,강동구,암사제1동,5
2019-01-05,서울특별시,강북구,송천동,5
2019-01-05,서울특별시,강서구,방화제3동,5
2019-01-05,서울특별시,광진구,구의제1동,5
2019-01-05,서울특별시,광진구,화양동,5
2019-01-05,서울특별시,구로구,개봉제1동,5
2019-01-05,서울특별시,노원구,상계1동,5
2019-01-05,서울특별시,노원구,월계2동,5
2019-01-05,서울특별시,도봉구,쌍문제3동,5
2019-01-05,서울특별시,동대문구,답십리제4동,5
2019-01-05,서울특별시,동작구,노량진제2동,5
2019-01-05,서울특별시,동작구,대방동,5
2019-01-05,서울특별시,마포구,대흥동,5
2019-01-05,서울특별시,송파구,가락본동,5
2019-01-05,서울특별시,송파구,잠실3동,5
2019-01-05,서울특별시,은평구,증산동,5
2019-01-05,서울특별시,종로구,사직동,5
2019-01-05,서울특별시,종로구,창신제1동,5
2019-01-05,서울특별시,중구,회현동,5
2019-01-05,서울특별시,중랑구,중화제1동,5
2019-01-05,서울특별시,강남구,일원본동,4
2019-01-05,서울특별시,강동구,둔촌제2동,4
2019-01-06,서울특별시,영등포구,여의동,25
2019-01-06,서울특별시,서초구,양재1동,19
2019-01-06,서울특별시,강서구,등촌제3동,18
2019-01-06,서울특별시,노원구,하계1동,18
2019-01-06,서울특별시,서대문구,신촌동,18
2019-01-06,서울특별시,은평구,역촌동,16
2019-01-06,서울특별시,강북구,번제3동,14
2019-01-06,서울특별시,노원구,월계1동,13
2019-01-06,서울특별시,노원구,월계2동,13
2019-01-06,서울특별시,송파구,오륜동,13
2019-01-06,서울특별시,송파구,장지동,13
2019-01-06,서울특별시,강남구,일원본동,12
2019-01-06,서울특별시,강동구,천호제2동,12
2019-01-06,서울특별시,구로구,구로제5동,12
2019-01-06,서울특별시,노원구,중계2.3동,12
2019-01-06,서울특별시,은평구,진관동,12
2019-01-06,서울특별시,강남구,수서동,11
2019-01-06,서울특별시,강북구,인수동,11
2019-01-06,서울특별시,노원구,상계2동,11
2019-01-06,서울특별시,동대문구,휘경제2동,11
2019-01-06,서울특별시,마포구,상암동,11
2019-01-06,서울특별시,마포구,성산제2동,11
2019-01-06,서울특별시,양천구,신정3동,11
2019-01-06,서울특별시,종로구,사직동,11
2019-01-06,서울특별시,강동구,명일제1동,10
2019-01-06,서울특별시,도봉구,방학제1동,10
2019-01-06,서울특별시,중구,명동,10
2019-01-06,서울특별시,마포구,망원제2동,9
2019-01-06,서울특별시,서대문구,연희동,9
2019-01-06,서울특별시,성북구,월곡제2동,9
2019-01-06,서울특별시,영등포구,영등포동,9
2019-01-06,서울특별시,은평구,구산동,9
2019-01-06,서울특별시,중랑구,신내2동,9
2019-01-06,서울특별시,강남구,세곡동,8
2019-01-06,서울특별시,강북구,송천동,8
2019-01-06,서울특별시,구로구,수궁동,8
2019-01-06,서울특별시,노원구,상계1동,8
2019-01-06,서울특별시,노원구,중계4동,8
2019-01-06,서울특별시,송파구,가락본동,8
2019-01-06,서울특별시,용산구,남영동,8
2019-01-06,서울특별시,용산구,서빙고동,8
2019-01-06,서울특별시,중랑구,신내1동,8
2019-01-06,서울특별시,강서구,가양제2동,7
2019-01-06,서울특별시,강서구,발산제1동,7
2019-01-06,서울특별시,강서구,방화제2동,7
2019-01-06,서울특별시,강서구,방화제3동,7
2019-01-06,서울특별시,구로구,오류제2동,7
2019-01-06,서울특별시,노원구,공릉1.3동,7
2019-01-06,서울특별시,노원구,상계3.4동,7
2019-01-06,서울특별시,노원구,상계6.7동,7
2019-01-06,서울특별시,도봉구,창제1동,7
2019-01-06,서울특별시,동대문구,신설동,7
2019-01-06,서울특별시,동대문구,전농제2동,7
2019-01-06,서울특별시,서초구,서초3동,7
2019-01-06,서울특별시,성동구,왕십리도선동,7
2019-01-06,서울특별시,종로구,종로1.2.3.4가동,7
2019-01-06,서울특별시,중랑구,망우본동,7
2019-01-06,서울특별시,강동구,강일동,6
2019-01-06,서울특별시,강남구,일원2동,6
2019-01-06,서울특별시,강남구,논현1동,6
2019-01-06,서울특별시,강북구,번제2동,6
2019-01-06,서울특별시,강서구,우장산동,6
2019-01-06,서울특별시,관악구,은천동,6
2019-01-06,서울특별시,구로구,구로제3동,6
2019-01-06,서울특별시,금천구,독산제3동,6
2019-01-06,서울특별시,노원구,월계3동,6
2019-01-06,서울특별시,동작구,노량진제1동,6
2019-01-06,서울특별시,마포구,서교동,6
2019-01-06,서울특별시,서초구,서초1동,6
2019-01-06,서울특별시,성북구,보문동,6
2019-01-06,서울특별시,성북구,삼선동,6
