EMD_CD,EMD_NM,DISABLED_NUM,SHOP_CNT,TAXI_CNT,EMPLOYEENUM,CENTER_CNT,CARD
11560130,양평동6가,0.0,0,0.0,0.0,0,0
11560131,양화동,0.0,0,0.0,0.0,0,0
11560110,여의도동,409.0,5,11802.0,30.0,0,5977
11680101,역삼동,823.0,7,3371.0,15.0,3,5618
11380108,역촌동,1222.0,4,19849.0,0.0,1,3712
11110166,연건동,0.0,0,0.0,2.0,0,0
11440124,연남동,306.0,2,0.0,0.0,0,1144
11110160,연지동,0.0,0,0.0,0.0,0,0
11410117,연희동,787.0,1,10815.0,0.0,2,2406
11650110,염곡동,0.0,0,0.0,10.0,0,0
11440109,염리동,230.0,1,0.0,0.0,0,0
11500101,염창동,623.0,3,277.0,1.0,0,3224
11560101,영등포동,1165.0,1,12001.0,0.0,0,7934
11560102,영등포동1가,0.0,0,0.0,0.0,0,0
11560103,영등포동2가,0.0,0,0.0,0.0,1,0
11560104,영등포동3가,0.0,0,0.0,0.0,0,0
11560105,영등포동4가,0.0,2,0.0,0.0,0,0
11560106,영등포동5가,0.0,6,0.0,0.0,0,0
11560107,영등포동6가,0.0,0,0.0,0.0,0,0
11560108,영등포동7가,0.0,0,0.0,0.0,1,0
11560109,영등포동8가,0.0,1,0.0,1.0,0,0
11410108,영천동,0.0,0,0.0,0.0,0,0
11140135,예관동,0.0,0,0.0,0.0,0,0
11140142,예장동,0.0,0,0.0,0.0,0,0
11110158,예지동,0.0,2,0.0,0.0,0,0
11500112,오곡동,0.0,0,0.0,0.0,0,0
11710112,오금동,782.0,2,3192.0,0.0,3,3114
11530108,오류동,1950.0,3,4636.0,21.0,0,1655
11500113,오쇠동,0.0,0,0.0,0.0,0,0
11140154,오장동,0.0,1,0.0,0.0,0,0
11200113,옥수동,439.0,2,5.0,0.0,0,738
11110111,옥인동,0.0,0,0.0,0.0,0,0
11410107,옥천동,0.0,0,0.0,0.0,0,0
11530110,온수동,0.0,0,0.0,0.0,0,0
11110130,와룡동,0.0,0,0.0,0.0,0,0
11500107,외발산동,0.0,0,0.0,0.0,0,0
11440105,용강동,346.0,1,0.0,0.0,0,2240
